Name,Team,IP,GB%,HR/FB,LD%,GB%,FB%,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,LD%,GB%,FB%,IFFB%,ERA-,FIP-,xFIP-,NameASCII,PlayerId,MLBAMID
"Shawn Armstrong","TBR",18.2,0.625,0.09090909,0.14583333,0.625,0.22916667,0.61111111,94.49090909,,,0.31111111,91.5,0.07777778,85.66666667,,,,,,,0.00369004,0.14583333,0.625,0.22916667,0.18181818,12.981140655886925,56.028818827406226,58.53264827535995,"Shawn Armstrong",12857,542888
"Spencer Strider","ATL",283.1,0.36721311,0.11023622,0.21639344,0.36721311,0.41639344,0.61572235,97.64555669,0.32113736,86.0379085,,,,,0.06314029,87.75496689,,,,,0.00062722,0.21639344,0.36721311,0.41639344,0.11023622,77.83654377836177,59.25103492077126,61.96007427745655,"Spencer Strider",27498,675911
"Scott Alexander","- - -",12.1,0.58139535,0,0.27906977,0.58139535,0.13953488,0.75268817,92.57142857,0.15053763,82.67857143,,,,,0.09677419,86.38888889,,,,,,0.27906977,0.58139535,0.13953488,0.16666667,122.54308930199771,49.470860848884115,65.623018720242,"Scott Alexander",10591,518397
"Diego Castillo","TBR",24.1,0.50724638,0.16666667,0.14492754,0.50724638,0.34782609,0.6121372,99.05603448,0.3878628,89.95238095,,,,,,,,,,,,0.14492754,0.50724638,0.34782609,0.16666667,87.31001548411726,77.68405240476345,65.67412683096924,"Diego Castillo",17496,650895
"Jacob deGrom","- - -",1356.1,0.44664634,0.10644007,0.2125,0.44664634,0.34085366,0.55101554,95.70911306,0.24535139,90.79113801,,,0.07204158,81.51891175,0.13159149,88.14468396,,,,,0.00223873,0.2125,0.44664634,0.34085366,0.1118068,64.810237646414,63.64113558542687,68.48613598151734,"Jacob deGrom",10954,594798
"Andrew Kittredge","TBR",25.2,0.46052632,0.31578947,0.28947368,0.46052632,0.25,0.54831461,94.54918033,0.40674157,86.58563536,,,,,0.04044944,86.22222222,0.00449438,89,,,,0.28947368,0.46052632,0.25,0.05263158,123.13754645384017,112.70368418831737,69.30329513587321,"Andrew Kittredge",12828,552640
"Hunter Wood","TBR",17,0.45652174,0,0.30434783,0.45652174,0.23913043,0.53943218,93.99415205,,,0.23659306,87.24,0.11987382,74.97368421,0.10410095,86.63636364,,,,,0.00315457,0.30434783,0.45652174,0.23913043,0.09090909,77.42297887466749,45.4994453309359,69.79992918150812,"Hunter Wood",15091,621056
"José Fernández","MIA",471.1,0.42984808,0.08516484,0.24486148,0.42984808,0.32529044,0.55085793,95.17557443,0.21290323,83.70439845,,,0.12601235,81.37595628,0.11022649,87.85429639,,,,,0.0058679,0.24486148,0.42984808,0.32529044,0.07692308,67.8236254482679,64.43440398833542,69.81999762507475,"Jose Fernandez",11530,605228
"Corbin Burnes","MIL",623.1,0.46903821,0.12981744,0.20619236,0.46903821,0.32476943,0.12344202,95.86580437,0.09622096,87.51917098,0.50952239,94.8297456,0.16861103,80.99349497,0.10060824,89.96729435,0.00159537,91.125,,,0.00019938,0.20619236,0.46903821,0.32476943,0.09533469,72.56996358678862,71.14318737458503,70.938733442662,"Corbin Burnes",19361,669203
"Chris Sale","- - -",1680.1,0.42568543,0.12153236,0.21019721,0.42568543,0.36411736,0.52659114,93.47522975,0.28454214,79.00159067,,,0.00011291,75,0.18875381,85.14816294,,,,,0.00161606,0.21019721,0.42568543,0.36411736,0.10568032,73.355106584523,70.18553830161746,71.03936285050897,"Chris Sale",10603,519242
