Season,Name,Team,IP,HR/FB,NameASCII,PlayerId,MLBAMID
2019,"Alex Cobb","BAL",12.1,0.6,"Alex Cobb",6562,502171
2019,"Framber Valdez","HOU",35.2,0.58333333,"Framber Valdez",17295,664285
2019,"Corbin Burnes","MIL",17.2,0.57894737,"Corbin Burnes",19361,669203
2017,"Erick Fedde","WSN",15.1,0.5,"Erick Fedde",17425,607200
2019,"Joe Palumbo","TEX",10.2,0.46666667,"Joe Palumbo",17035,643478
2006,"Dustin Nippert","ARI",10,0.45454545,"Dustin Nippert",4426,430962
2007,"Victor Zambrano","- - -",11,0.45454545,"Victor Zambrano",1237,406913
2012,"Zach Stewart","- - -",11.1,0.44444444,"Zach Stewart",7397,543819
2016,"Cody Martin","SEA",10,0.44444444,"Cody Martin",12182,592533
2017,"Andrew Heaney","LAA",21.2,0.4,"Andrew Heaney",15423,571760
2019,"Andrew Kittredge","TBR",11.2,0.4,"Andrew Kittredge",12828,552640
2021,"Dustin May","LAD",23,0.4,"Dustin May",19716,669160
2003,"Mike Bynum","SDP",23,0.38888889,"Mike Bynum",1022,407803
2003,"Jason Young","COL",12,0.375,"Jason Young",1707,408221
2006,"Aaron Small","NYY",12,0.375,"Aaron Small",1477,122332
2015,"Brandon McCarthy","LAD",23,0.375,"Brandon McCarthy",4662,435221
2021,"Andrew Albers","MIN",12.1,0.375,"Andrew Albers",7853,452027
2016,"Jon Moscot","CIN",21.1,0.37037037,"Jon Moscot",13849,621209
2016,"Jake Esch","MIA",13,0.36363636,"Jake Esch",12756,605222
2002,"Luis De Los Santos","TBD",14,0.35714286,"Luis De Los Santos",1203,150087
2013,"Jonathan Sánchez","PIT",11.1,0.35714286,"Jonathan Sanchez",7507,456043
2013,"Nate Karns","WSN",12,0.35714286,"Nate Karns",12638,501992
2007,"Virgil Vasquez","DET",11.2,0.35294118,"Virgil Vasquez",6124,446911
2020,"Touki Toussaint","ATL",20.1,0.35294118,"Touki Toussaint",16929,657053
2019,"Tyler Anderson","COL",20.2,0.34782609,"Tyler Anderson",12880,542881
2020,"Steven Matz","NYM",25.2,0.34375,"Steven Matz",13361,571927
2007,"Lance Cormier","ATL",44.2,0.34042553,"Lance Cormier",4346,433578
2003,"Victor Santos","TEX",19.1,0.33333333,"Victor Santos",446,276343
2007,"Jeff Bennett","ATL",11.2,0.33333333,"Jeff Bennett",1903,430831
